,_id,sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act
0,1,2001,中央大學圖書館,14,4,中壢區,20240715205117,24.968128,121.194666,中大路300號(中央大學校內圖書館前),Zhongli Dist.,National Central University Library,"No.300, Zhongda Rd.",9,1
1,2,2002,中壢高中,12,5,中壢區,20240715205124,24.960815,121.212038,中央西路二段215號對面人行道,Zhongli Dist.,Jhungli Senior High School,"No.215, Sec. 2, Zhongyang W. Rd. (opposite)",7,1
2,3,2004,中壢火車站(前站)中和路,24,2,中壢區,20240715205120,24.954042,121.22644,中和路109號空地,Zhongli Dist.,TRA Zhongli Station (Front)Zhonghe Rd.,"No. 109, Zhonghe Rd.",22,1
3,4,2005,中原大學,28,17,中壢區,20240715205124,24.957943,121.240201,中北路200號(中原大學校內懷恩樓後方空地),Zhongli Dist.,Chung Yuan Christian University,"No.200, Zhongbei Rd.",11,1
4,5,2006,銀河廣場,12,1,中壢區,20240715205143,24.961716,121.224241,九和一街48號對面銀河廣場人行道,Zhongli Dist.,Galaxy Square,"No.48, Jiuhe 1st St. (opposite)",11,1
5,6,2007,中壢區公所,10,6,中壢區,20240715205137,24.965697,121.224696,環北路380號旁人行道,Zhongli Dist.,Civil Affairs Office of Zhongli District,"No.380, Huanbei Rd.",4,1
6,7,2008,光明公園,24,4,中壢區,20240715205125,24.962812,121.217385,民權路322號對面停車場,Zhongli Dist.,Guangming Park,"No.322, Minquan Rd. (opposite)",18,1
7,8,2009,翠堤橋,12,4,中壢區,20240715205144,24.953265,121.215878,義民路105號旁人行道,Zhongli Dist.,Cuiti Bridge,"No.105, Yimin Rd.",8,1
8,9,2010,中壢國小,12,2,中壢區,20240715205138,24.954097,121.220349,康樂路61號旁公園,Zhongli Dist.,Chungli Elementary School,"No.61, Kangle Rd. (opposite)",10,1
9,10,2011,莒光公園,6,3,中壢區,20240715204933,24.951472,121.235693,寧夏二街43號對面莒光公園入口圓環,Zhongli Dist.,Juguang Park,"No.43,Ningxia 2nd St. (opposite)",3,1
10,11,2012,中壢火車站(後站),10,5,中壢區,20240715205121,24.952352,121.224325,新興路68-94號對面人行道,Zhongli Dist.,TRA Zhongli Station (Rear),"No.68 to No.94, Xinxing Rd. (opposite)",5,1
11,12,2017,中正公園(元化路),10,5,中壢區,20240715205129,24.960415,121.227300,元化路197巷對面中正公園旁人行道,Zhongli Dist.,Zhongzheng Park(Yuanhua Rd.),"Ln. 197, Yuanhua Rd. (opposite)",5,1
12,13,2018,中壢區聯合辦公大樓,10,5,中壢區,20240715205141,24.962068,121.230027,溪洲街298號前方人行道,Zhongli Dist.,Zhongli District Joint Office Building,"No.298, Xizhou St.",5,1
13,14,2019,民族公園,12,0,桃園區,20240715205133,24.995946,121.306636,汕頭街15號對面民族公園旁人行道,Taoyuan Dist.,Minzu Park,"No.15, Shantou St.(opposite)",12,1
14,15,2020,朝陽森林公園,10,2,桃園區,20240715205140,24.999107,121.312820,朝陽街104-108號對面機車停車場,Taoyuan Dist.,Chaoyang Park,"No.104 to No.108, Chaoyang St.",7,1
15,16,2021,桃園延平公園,18,6,桃園區,20240715205126,24.980482,121.314998,大豐路187號對面延平公園旁人行道,Taoyuan Dist.,Taoyuan Yenping Park,"No.187, Dafeng Rd.(opposite)",12,1
16,17,2022,福豐公園,8,3,桃園區,20240715205130,24.985652,121.311513,建國路昆明路口(西北側),Taoyuan Dist.,Fufeng Park,Jianguo Rd./Kunming Rd.,5,1
17,18,2023,桃園火車站(後站),14,1,桃園區,20240715205142,24.987795,121.314279,延平路26號對面人行道,Taoyuan Dist.,TRA Taoyuan Station (Rear),"No.26, Yanping Rd.(opposite)",13,1
18,19,2024,桃園建國公園,8,3,桃園區,20240715205145,24.987418,121.317759,桃鶯路93號對面建國公園旁人行道,Taoyuan Dist.,Taoyuan Jianguo Park,"No.93, Taoying Rd. (opposite)",4,1
